venue,innings,batting_team,bowling_team,total_runs
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,28
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,31
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,62
Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,44
Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,45
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,45
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,33
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,48
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,62
Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,62
Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,65
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,36
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,26
Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,42
Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,49
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,43
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,38
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,33
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,32
Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,37
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,77
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,45
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,34
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,44
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,48
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,57
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,69
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,46
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,56
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,41
Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,32
Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,38
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,45
"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,40
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,42
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,65
Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,37
Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,28
Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,20
Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,29
Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,42
Feroz Shah Kotla,2,Delhi Daredevils,Kolkata Knight Riders,40
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,31
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,18
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,57
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,42
Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,34
Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,37
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,40
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,45
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,49
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,34
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,34
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,64
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,35
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,24
Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,42
Feroz Shah Kotla,2,Kochi Tuskers Kerala,Delhi Daredevils,65
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,40
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,41
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,47
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,43
Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,45
Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,30
Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,35
Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,43
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,43
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,25
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,48
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,38
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,15
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,33
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,50
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,23
M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,49
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,79
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,34
"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Kings XI Punjab,40
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,51
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,48
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,50
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,52
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,39
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,33
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,66
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,42
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,52
Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,61
Holkar Cricket Stadium,2,Kings XI Punjab,Kochi Tuskers Kerala,49
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,33
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,65
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,32
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,26
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,43
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,42
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,32
Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,87
Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,39
Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,56
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,30
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,34
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,41
"MA Chidambaram Stadium, Chepauk",2,Kochi Tuskers Kerala,Chennai Super Kings,40
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,28
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,44
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,26
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,52
Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,58
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Deccan Chargers,45
Feroz Shah Kotla,1,Delhi Daredevils,Pune Warriors,32
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,23
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,44
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,46
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,52
Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43
Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,25
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,25
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,62
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,68
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Royal Challengers Bangalore,48
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,56
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,47
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,42
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,53
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,40
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,48
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,30
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,27
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,57
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,45
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,46
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,45
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,37
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,27
Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,38
Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,19
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,29
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,20
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,41
Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,50
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,54
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,44
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,55
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,52
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,29
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,38
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,36
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,50
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,34
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,43
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,56
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,26
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,48
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,54
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,19
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,41
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,57
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,62
M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,58
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,42
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,45
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,33
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,64
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,41
"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,53
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,36
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,45
Feroz Shah Kotla,1,Pune Warriors,Delhi Daredevils,51
Feroz Shah Kotla,2,Delhi Daredevils,Pune Warriors,49
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,39
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,48
Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,39
Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,42
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,37
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,48
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,28
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,61
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,44
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,38
Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,50
Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,44
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,54
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,49
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,43
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,48
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,46
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,42
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,40
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,38
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,31
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,43
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,35
Barabati Stadium,1,Deccan Chargers,Pune Warriors,33
Barabati Stadium,2,Pune Warriors,Deccan Chargers,48
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,56
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,61
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,33
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,53
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,42
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,37
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,55
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,47
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,64
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,44
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,60
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,33
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,52
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,46
M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,46
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,46
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,50
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,60
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,35
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,49
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Deccan Chargers,51
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kings XI Punjab,39
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,28
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,66
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,50
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,49
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,32
"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,Chennai Super Kings,27
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Delhi Daredevils,45
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,45
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,33
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,47
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,40
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,31
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,50
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,51
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,47
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,37
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,32
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,26
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Kings XI Punjab,25
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Chennai Super Kings,43
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,42
Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,51
"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Deccan Chargers,41
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Rajasthan Royals,57
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,20
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,27
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,40
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,23
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,40
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,31
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Daredevils,48
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49
M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,30
M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,54
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,48
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,46
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,53
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,56
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,46
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,31
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,38
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Pune Warriors,34
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Sunrisers Hyderabad,27
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,44
Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,39
"MA Chidambaram Stadium, Chepauk",1,Mumbai Indians,Chennai Super Kings,41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Mumbai Indians,36
Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,24
Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,56
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,37
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,35
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,40
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,38
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,46
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,43
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,38
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,37
Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,44
Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,64
Feroz Shah Kotla,1,Delhi Daredevils,Sunrisers Hyderabad,29
Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Daredevils,38
Wankhede Stadium,1,Mumbai Indians,Pune Warriors,48
Wankhede Stadium,2,Pune Warriors,Mumbai Indians,40
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,33
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,31
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,38
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,34
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,48
"MA Chidambaram Stadium, Chepauk",1,Pune Warriors,Chennai Super Kings,48
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Pune Warriors,38
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,35
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,45
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,48
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,25
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,41
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,58
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,26
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,39
Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,32
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,36
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,33
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,47
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,27
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,48
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,24
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,60
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,48
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,55
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,55
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,58
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,62
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,43
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,53
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,21
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,61
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,42
"MA Chidambaram Stadium, Chepauk",1,Sunrisers Hyderabad,Chennai Super Kings,40
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Sunrisers Hyderabad,58
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,45
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,25
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,67
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,63
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Pune Warriors,37
Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Daredevils,43
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,55
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,36
